,Pandoro,GarlicPastry,AlmondCroissant,PainAuChocolat,ChocoDippedCroissant,FruitCreamCroissant,Croissant,PlainBread,RedBeanBun
7/11/19,0,0,0,0,0,4,0,0,2
7/12/19,0,0,0,0,0,14,0,0,0
7/13/19,0,0,0,0,2,5,0,3,8
7/14/19,0,0,0,0,4,9,0,0,15
7/15/19,0,0,0,0,1,1,0,0,3
7/17/19,0,0,0,1,0,1,1,2,6
7/19/19,0,0,0,3,0,7,22,0,11
7/20/19,1,0,0,7,0,3,5,0,13
7/21/19,0,0,1,3,0,2,7,4,11
7/22/19,1,0,0,4,0,2,5,0,15
7/24/19,0,0,2,1,0,3,1,5,17
7/25/19,4,0,6,5,0,2,4,1,16
7/26/19,8,0,7,8,0,4,15,10,27
7/27/19,3,0,0,4,0,1,6,7,10
7/28/19,3,0,0,3,0,3,4,3,8
7/29/19,3,0,3,4,0,2,7,1,11
7/31/19,4,0,1,4,0,2,3,4,14
8/1/19,4,0,0,7,0,4,9,5,13
8/2/19,1,0,0,1,0,3,0,3,21
8/3/19,0,0,3,4,0,0,8,5,27
8/4/19,1,0,1,5,0,2,6,7,13
8/5/19,3,0,2,6,0,4,5,6,15
8/7/19,0,0,0,4,0,2,7,5,13
8/8/19,4,0,0,3,0,4,5,6,18
8/9/19,0,0,0,1,0,0,5,0,13
8/10/19,6,0,2,7,0,6,5,3,25
8/11/19,6,0,2,9,0,3,4,4,19
8/12/19,2,0,2,4,0,1,7,4,17
8/14/19,4,0,4,4,1,1,10,5,19
8/15/19,0,0,0,1,0,2,18,3,13
8/16/19,1,0,1,1,1,1,1,1,7
8/17/19,2,0,1,4,1,6,3,6,14
8/18/19,7,0,4,6,3,4,10,2,16
8/19/19,5,0,3,2,2,7,2,6,14
8/21/19,3,0,2,4,0,2,8,6,18
8/22/19,3,0,1,4,1,4,4,0,14
8/23/19,1,0,1,2,1,0,5,3,15
8/24/19,1,0,2,3,2,2,11,7,16
8/25/19,1,0,1,5,1,3,2,2,19
8/26/19,3,0,1,1,4,6,2,1,9
8/28/19,3,0,1,3,0,3,5,2,13
8/29/19,2,0,3,2,1,1,5,5,18
8/30/19,1,0,1,4,0,3,2,3,22
8/31/19,0,0,0,4,0,3,2,5,9
9/1/19,2,0,2,7,4,1,3,4,16
9/2/19,5,0,4,0,2,3,2,0,6
9/4/19,1,0,0,6,3,5,9,5,14
9/5/19,0,0,0,3,2,3,1,5,27
9/6/19,1,0,2,2,1,2,4,1,10
9/7/19,2,0,3,0,2,4,5,9,17
9/8/19,0,0,1,1,0,2,2,1,6
9/9/19,3,0,0,3,3,2,6,5,17
9/11/19,1,0,0,2,3,2,2,2,22
9/12/19,0,0,1,2,5,2,4,2,14
9/14/19,3,0,1,2,2,4,5,1,8
9/15/19,3,0,1,4,1,5,8,6,19
9/18/19,2,0,0,6,5,2,1,1,6
9/19/19,2,0,2,3,4,6,2,4,23
9/20/19,1,0,0,2,0,6,4,4,19
9/21/19,5,0,2,5,5,5,8,3,16
9/22/19,1,0,3,8,1,4,16,7,17
9/23/19,0,0,0,5,2,4,5,2,10
9/25/19,0,0,2,3,1,2,2,3,12
9/26/19,0,0,0,0,0,0,1,1,2
9/27/19,0,0,0,2,0,1,3,2,13
9/28/19,2,0,0,5,2,5,7,6,19
9/29/19,1,0,1,8,3,4,8,1,17
9/30/19,0,0,0,0,1,2,5,4,7
10/2/19,1,0,0,3,1,1,4,5,1
10/3/19,3,0,2,5,2,7,3,7,17
10/4/19,2,0,0,1,0,0,0,0,5
10/5/19,0,0,2,1,1,3,1,0,6
10/6/19,0,0,0,3,1,1,3,5,6
10/7/19,1,0,0,0,1,3,0,2,10
10/9/19,0,0,0,0,2,1,1,0,3
10/10/19,0,0,0,1,0,7,3,1,15
10/11/19,1,0,2,1,0,2,2,3,5
10/12/19,0,0,0,3,2,2,3,1,12
10/13/19,2,0,3,1,3,3,5,9,8
10/14/19,2,0,2,6,1,4,5,1,10
10/16/19,3,0,2,6,0,2,1,2,8
10/17/19,0,0,2,4,1,3,5,5,11
10/18/19,1,0,1,1,0,0,3,1,9
10/19/19,2,0,2,6,2,4,5,4,9
10/20/19,0,0,0,6,0,1,9,4,21
10/21/19,3,0,2,5,0,9,5,5,27
10/23/19,0,0,1,3,3,1,1,1,4
10/24/19,2,0,0,7,3,5,5,2,12
10/25/19,2,0,1,2,1,1,5,1,6
10/26/19,1,0,0,1,0,4,3,4,11
10/27/19,1,0,0,4,4,2,7,2,17
10/28/19,3,0,2,5,2,2,9,5,12
10/31/19,0,0,2,5,0,0,4,1,4
11/1/19,2,0,0,3,1,2,4,3,5
11/2/19,0,0,0,4,1,3,7,3,15
11/3/19,1,0,0,5,1,3,0,7,15
11/4/19,0,0,0,1,2,1,3,7,2
11/6/19,1,0,4,2,0,1,3,2,7
11/7/19,1,0,0,1,1,1,7,5,10
11/8/19,0,0,1,4,3,3,3,5,16
11/9/19,4,0,1,4,2,7,3,6,19
11/10/19,2,0,1,4,2,7,1,5,26
11/11/19,2,0,0,0,1,3,0,7,8
11/13/19,1,0,1,1,0,5,1,4,10
11/14/19,0,0,0,0,0,1,2,1,5
11/15/19,6,0,0,3,0,2,8,6,9
11/16/19,1,0,0,1,3,1,3,5,12
