Date,Day_of_Week,High_Low_Temp_From_12PM_to_6PM,Humidity_From_12PM_to_6PM,Weather_Description,CaryHigh_ Status,Shift_Notes,Traffic_Density,ChestnutPanBread_Waste_Count,MorningBread_Waste_Count,MochaBread_Waste_Count,MagicMochaBread_Waste_Count,CoffeeBun_Waste_Count,GarlicStick_Waste_Count,CreamCheeseGarlicBread_Waste_Count,SaltButterRoll_Waste_Count,PlusMilkRoll_Waste_Count,ButterCreamBread_Waste_Count,TaroButterCreamBread_Waste_Count,Soboro_Waste_Count,CustardCreamSoboro_Waste_Count,CustardBun_Waste_Count,RedBeanBread_Waste_Count,RedBeanMilkCreamBread_Waste_Count,PremiumWalnutRedBeanBread_Waste_Count,MilkCreamBread_Waste_Count,TaroCreamBun_Waste_Count,HoneyCheeseMochiPancake_Waste_Count,CornCheeseDonut_Waste_Count,MilkSoftBread_Waste_Count,MilkyPuffyBread_Waste_Count,StrawberrySoftBread_Waste_Count,HoneydewSoftBread_Waste_Count,BananaSoftBread_Waste_Count,CreamCheeseWalnutBread_Waste_Count,CranberryCreamCheeseBun_Waste_Count,ChocoDippedWaffle_Waste_Count,MangoCreamDonut_Waste_Count,MatchaCreamDonut_Waste_Count,UbeCreamDonut_Waste_Count,VanillaCreamDonut_Waste_Count,ChocoCreamDonut_Waste_Count,SweetRiceRedBeanDonut_Waste_Count,RedBeanDonut_Waste_Count,TwistDonut_Waste_Count,StrawberryCreamCroissant_Waste_Count,ChocoHazelnutFillingCroissant_Waste_Count,ChocoDippedCroissant_Waste_Count,AlmondCroissant_Waste_Count,JalapenoCheeseCroissant_Waste_Count,PainAuRaisin_Waste_Count,PainAuChocolat_Waste_Count,ChocolateAvalanche_Waste_Count,MontBlancPastry_Waste_Count,GuavaDanish_Waste_Count,SweetBlueberryCreamCheeseDanish_Waste_Count,SpinachFetaCheeseDanish_Waste_Count,GreekYogurtCherryDanish_Waste_Count,MixedBerryDanish_Waste_Count,MushroomOnionCheeseDanish_Waste_Count,CaramelApplePie_Waste_Count,YuzuPie_Waste_Count,PortugueseEggTart_Waste_Count,CreamCheeseTart_Waste_Count,Croquette_Waste_Count,KimchiCroquette_Waste_Count,CurryCroquette_Waste_Count,ChocoFilledCookie_Waste_Count,ChocoShellBread_Waste_Count,ChocoPretzelPastry_Waste_Count,CustardAlmondPretzelPastry_Waste_Count,PlainCloudBagel_Waste_Count,EverythingSeasoningCloudBagel_Waste_Count
2026-01-10,Tuesday,88 / 80 degrees Fahrenheit,0.36,Clear Sky,NO_STUDENT_DAY,"BOGO on croissants today, busy morning.",3,2,0,2,2,2,0,2,1,0,0,0,0,0,8,2,0,2,0,2,2,2,2,1,0,1,2,1,0,0,2,1,1,2,0,3,1,1,0,3,0,1,1,2,2,0,2,7,2,0,1,0,2,1,2,2,1,4,0,2,0,0,2,0,1,0
2026-01-13,Wednesday,73 / 62 degrees Fahrenheit,0.61,Clear Sky,OPEN,"Super slow day, barely any customers.",1,1,2,2,1,5,2,5,5,5,0,5,5,1,23,5,1,1,4,4,2,5,5,5,1,5,2,0,4,0,2,4,2,1,1,20,5,14,1,11,4,4,5,4,2,2,1,9,5,11,5,2,5,5,4,5,4,7,1,1,5,4,0,0,0,1
2026-01-16,Thursday,84 / 79 degrees Fahrenheit,0.45,Scattered Clouds,OPEN,"Busy weekend rush, sold out of several items.",3,3,4,2,4,0,5,5,0,5,4,2,5,2,3,2,3,1,3,0,5,5,2,4,1,4,0,5,4,5,4,4,1,2,2,5,4,16,0,9,2,3,0,0,5,2,1,1,1,9,0,0,5,3,0,4,1,2,5,3,4,1,2,4,4,3
2026-01-19,Friday,87 / 79 degrees Fahrenheit,0.46,Moderate Rain,NO_STUDENT_DAY,"Normal day, nothing unusual.",1,5,2,4,5,4,0,1,1,0,2,0,5,5,9,5,1,0,0,5,5,0,1,0,0,2,0,5,4,2,5,4,1,11,1,20,5,16,1,9,4,1,0,0,13,4,2,18,4,9,5,0,5,5,5,0,0,8,5,2,0,1,1,1,5,4
2026-01-22,Saturday,70 / 62 degrees Fahrenheit,0.5,Light Rain,NO_STUDENT_DAY,,1,0,4,5,0,0,5,5,0,0,1,1,4,4,21,1,4,0,1,4,0,4,2,4,2,4,5,5,9,5,5,4,1,4,2,8,0,1,5,7,0,0,5,4,11,5,1,1,5,1,1,0,5,0,5,1,4,1,5,1,5,5,0,5,0,4
2026-01-25,Sunday,83 / 71 degrees Fahrenheit,0.41,Moderate Rain,NO_STUDENT_DAY,"Super slow day, barely any customers.",3,1,5,5,2,1,2,4,1,5,5,2,4,2,24,0,0,4,5,5,0,0,5,1,5,2,1,2,1,1,2,2,1,9,5,12,5,16,0,11,5,2,5,0,2,2,0,4,5,11,1,2,2,5,1,5,2,4,5,5,2,5,4,2,0,0
2026-01-28,Tuesday,66 / 62 degrees Fahrenheit,0.42,Light Rain,OPEN,"BOGO on croissants today, busy morning.",3,2,1,0,2,2,2,2,2,2,0,0,0,2,2,2,0,1,2,2,0,2,0,0,1,1,0,1,2,2,0,2,0,3,2,9,2,2,0,1,0,2,0,0,6,1,2,4,1,1,2,0,2,0,2,0,0,4,1,1,0,0,0,2,0,2
2026-01-31,Wednesday,95 / 87 degrees Fahrenheit,0.43,Overcast Clouds,NO_STUDENT_DAY,"Busy weekend rush, sold out of several items.",2,3,5,4,2,0,0,2,1,4,2,0,0,4,13,2,5,2,3,4,4,0,3,4,1,2,0,5,6,0,4,4,5,11,5,6,2,13,0,10,2,4,2,5,13,0,5,9,4,4,5,3,2,3,5,2,4,2,1,3,5,3,5,5,1,4
2026-02-03,Thursday,82 / 78 degrees Fahrenheit,0.4,Overcast Clouds,OPEN,"BOGO on croissants today, busy morning.",3,1,2,2,2,1,1,1,1,2,0,2,1,2,2,2,0,1,2,2,2,2,1,0,0,2,1,0,1,0,0,0,0,3,2,1,1,6,2,4,0,2,2,1,3,1,0,2,2,5,0,0,1,0,0,2,2,3,0,2,0,0,1,0,1,2
2026-02-06,Friday,95 / 84 degrees Fahrenheit,0.6,Moderate Rain,OPEN,"Normal day, nothing unusual.",3,5,4,5,4,1,5,4,4,2,1,5,2,5,21,5,1,2,4,0,5,2,1,2,2,2,5,0,2,1,1,4,5,2,5,8,0,16,4,7,5,4,4,0,4,4,4,18,5,0,5,4,4,0,2,2,4,8,5,5,5,5,5,1,4,1
2026-02-09,Saturday,80 / 76 degrees Fahrenheit,0.45,Light Rain,NO_STUDENT_DAY,"Normal day, nothing unusual.",2,5,4,5,1,4,1,5,5,0,4,5,5,5,0,0,5,4,1,4,1,0,2,4,2,1,4,2,7,4,2,4,2,1,4,0,5,1,2,4,5,0,5,0,13,0,1,8,0,12,1,1,1,4,5,0,5,4,4,5,2,2,1,5,5,5
2026-02-12,Sunday,89 / 83 degrees Fahrenheit,0.83,Clear Sky,NO_STUDENT_DAY,Steady flow throughout the day.,3,4,0,2,4,5,3,3,5,1,0,4,5,5,7,0,5,2,5,4,0,4,0,2,4,3,5,2,1,4,5,2,0,6,3,3,3,11,5,7,5,1,3,1,11,4,5,8,4,12,4,3,3,3,5,4,2,5,1,0,2,3,1,3,4,4
2026-02-15,Tuesday,65 / 54 degrees Fahrenheit,0.75,Light Rain,OPEN,"BOGO on croissants today, busy morning.",3,2,0,1,1,1,1,2,2,1,2,0,2,0,1,0,2,2,2,2,0,2,2,2,2,2,2,0,0,1,0,2,2,2,1,10,1,8,2,5,1,2,2,2,3,1,2,9,1,2,1,0,0,2,0,1,0,5,2,0,0,0,2,2,1,2
